,car_model,year_of_manufacture,price,fuel
0,alto 800,2017,4253.73,Petrol
1,ciaz,2015,10223.88,Diesel
2,ciaz,2015,11194.03,Petrol
3,ertiga,2015,9104.48,Petrol
4,dzire,2009,3358.21,Petrol
5,ertiga,2016,11567.16,Diesel
6,ertiga,2015,10820.9,Diesel
7,ertiga,2016,11567.16,Diesel
8,wagon r,2015,4850.75,CNG
9,sx4,2010,3955.22,Petrol
10,alto k10,2016,4253.73,Petrol
11,ignis,2017,7313.43,Petrol
12,sx4,2011,6567.16,Petrol
13,alto k10,2014,3731.34,Petrol
14,wagon r,2013,4328.36,Petrol
15,swift,2011,4477.61,Petrol
16,swift,2013,6194.03,Petrol
17,swift,2017,8955.22,Petrol
18,alto k10,2010,2910.45,Petrol
19,ciaz,2015,11119.4,Diesel
20,ritz,2014,5000.0,Petrol
21,sx4,2013,7089.55,Diesel
22,ciaz,2017,10820.9,Petrol
23,wagon r,2011,4253.73,Petrol
24,swift,2014,6865.67,Diesel
25,vitara brezza,2018,13805.97,Diesel
26,ciaz,2015,10074.63,Petrol
27,s cross,2015,9701.49,Diesel
28,ciaz,2016,13059.7,Diesel
29,ciaz,2015,11119.4,Diesel
